State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
CA,Tulare County,2,2,2,2,"54,916","24,610","11,814","7,074",55.8,25.0,12.0,7.2,"59,651","38,667","22,902","13,639",44.2,28.7,17.0,10.1,"70,714","40,873","45,103","20,965",39.8,23.0,25.4,11.8,"78,512","47,004","55,812","23,560",38.3,22.9,30.2,14.1,"73,630","92,303","52,830","103,905",22.8,28.6,32.2,16.4
CA,Tuolumne County,4,5,4,5,"5,624","4,940","2,010","1,087",41.2,36.2,14.7,8.0,"4,965","8,504","5,383","2,981",22.7,39.0,24.7,13.7,"6,811","11,082","11,129","5,011",20.0,32.6,32.7,14.7,"6,129","11,579","14,985","6,284",15.7,29.7,34.1,15.3,"13,035","14,721","11,149","21,362",21.6,24.4,35.4,18.5
CA,Ventura County,2,2,2,2,"68,362","65,439","31,734","23,283",36.2,34.7,16.8,12.3,"71,508","99,531","72,274","53,980",24.1,33.5,24.3,18.2,"85,778","91,704","142,471","95,598",20.6,22.1,34.3,23.0,"93,872","92,936","157,812","127,136",19.9,19.7,33.6,11.3,"7,592","12,880","6,003","16,040",17.9,30.3,37.7,14.1
CA,Yolo County,1,1,1,1,"17,135","13,142","6,122","8,224",38.4,29.5,13.7,18.4,"16,314","17,837","10,693","16,611",26.5,29.0,17.4,27.0,"16,965","18,093","21,463","24,524",20.9,22.3,26.5,30.3,"19,299","18,901","24,647","32,576",20.2,19.8,35.9,15.5,968,"2,876","2,286","4,247",9.3,27.7,40.9,22.0
CA,Yuba County,3,2,3,2,"9,313","7,394","2,981","1,746",43.4,34.5,13.9,8.1,"9,801","9,296","5,453","2,523",36.2,34.3,20.1,9.3,"10,669","8,474","11,479","3,206",31.5,25.1,33.9,9.5,"9,924","9,589","12,068","3,637",28.2,27.2,27.2,11.5,"82,450","64,461","34,266","76,869",32.0,25.0,29.8,13.3
WI,Wisconsin,,,,,"1,060,531","811,048","230,874","227,343",45.5,34.8,9.9,9.8,"822,293","1,093,496","388,523","401,076",30.4,40.4,14.4,14.8,"662,072","1,147,697","735,487","548,970",21.4,37.1,23.8,17.7,"518,417","1,201,813","976,375","779,273",14.9,34.6,19.7,10.4,"1,985","5,735","1,201","2,803",16.9,48.9,23.9,10.2
WI,Adams County,8,7,8,6,"3,342","1,494",329,259,61.6,27.5,6.1,4.8,"3,728","3,336","1,030",645,42.7,38.2,11.8,7.4,"3,757","4,534","2,245",842,33.0,39.8,19.7,7.4,"3,202","5,755","3,404","1,369",23.3,41.9,17.5,9.9,545,"1,995",456,"1,173",13.1,47.9,28.1,10.9
WI,Ashland County,7,11,7,11,"4,895","2,758",921,694,52.8,29.8,9.9,7.5,"3,403","3,957","1,363","1,209",34.3,39.8,13.7,12.2,"2,534","4,049","2,367","1,312",24.7,39.5,23.1,12.8,"1,697","4,322","2,888","1,761",15.9,40.5,27.9,15.2,"6,734","22,839","11,483","20,323",11.0,37.2,33.1,18.7
WI,Barron County,6,6,6,6,"10,659","5,672","1,565","1,235",55.7,29.6,8.2,6.5,"8,571","8,778","3,187","2,378",37.4,38.3,13.9,10.4,"7,080","10,161","5,879","3,078",27.0,38.8,22.4,11.7,"5,281","11,816","8,392","4,453",17.6,39.5,15.3,7.1,"4,281","7,383","1,473","3,289",26.1,44.9,20.0,9.0
WI,Bayfield County,8,7,8,6,"3,590","2,334",630,324,52.2,33.9,9.2,4.7,"2,728","3,428","1,240","1,161",31.9,40.1,14.5,13.6,"2,021","3,392","2,286","1,719",21.5,36.0,24.3,18.3,"1,374","3,598","3,283","2,271",13.1,34.2,28.1,22.4,"356,189","1,247,009","1,055,857","1,191,940",9.2,32.4,31.0,27.4
WI,Brown County,2,2,2,2,"31,527","30,188","6,848","7,259",41.6,39.8,9.0,9.6,"24,827","43,112","13,424","13,766",26.1,45.3,14.1,14.5,"20,927","48,840","29,488","21,320",17.4,40.5,24.5,17.7,"19,743","50,311","41,729","32,389",13.7,34.9,24.8,10.0,"2,191","6,896","2,035","5,032",13.6,42.7,31.2,12.6
WI,Buffalo County,8,6,8,6,"4,071","2,262",821,462,53.5,29.7,10.8,6.1,"3,302","3,335","1,048",748,39.2,39.5,12.4,8.9,"2,443","3,745","1,764",966,27.4,42.0,19.8,10.8,"1,488","4,110","2,468","1,318",15.9,43.8,27.1,16.5,"1,021","3,771","2,406","3,587",9.5,35.0,33.3,22.3
WI,Burnett County,8,4,8,4,"3,410","1,695",400,286,58.9,29.3,6.9,4.9,"3,064","3,282",888,614,39.0,41.8,11.3,7.8,"2,507","4,049","1,682",807,27.7,44.8,18.6,8.9,"1,944","4,811","2,941","1,577",17.2,42.7,28.0,14.9,"3,560","13,215","5,377","10,252",11.0,40.8,31.6,16.6
WI,Calumet County,3,2,3,2,"6,706","4,834",884,805,50.7,36.5,6.7,6.1,"5,536","7,430","1,800","1,745",33.5,45.0,10.9,10.6,"4,260","9,772","4,208","2,700",20.3,46.7,20.1,12.9,"3,304","10,575","6,774","5,415",12.7,40.6,31.2,21.6,708,"3,577","3,243","3,935",6.2,31.2,34.3,28.3
WI,Chippewa County,3,2,3,2,"12,862","8,333","1,943","1,468",52.3,33.9,7.9,6.0,"10,712","12,707","3,216","2,729",36.5,43.3,11.0,9.3,"8,323","14,639","6,656","3,577",25.1,44.1,20.1,10.8,"5,718","14,885","10,399","5,328",15.7,41.0,28.9,22.5,"15,614","52,798","45,631","52,139",9.4,31.8,31.4,27.5
WI,Clark County,8,6,6,6,"9,735","5,065","1,101",779,58.4,30.4,6.6,4.7,"8,286","7,365","1,873","1,398",43.8,38.9,9.9,7.4,"6,396","8,518","3,086","1,702",32.5,43.2,15.7,8.6,"5,169","8,951","4,704","2,167",24.6,42.6,26.3,14.0,920,"4,013","1,688","2,933",9.6,42.0,30.7,17.7
WI,Columbia County,2,2,2,2,"10,125","8,310","2,444","1,595",45.1,37.0,10.9,7.1,"8,047","11,347","3,831","2,911",30.8,43.4,14.7,11.1,"6,445","12,133","7,236","3,823",21.7,40.9,24.4,12.9,"4,904","14,108","10,576","5,941",13.8,39.7,26.1,14.0,"1,084","4,744","1,962","3,872",9.3,40.7,33.2,16.8
WI,Crawford County,7,9,7,9,"4,693","2,565",635,510,55.8,30.5,7.6,6.1,"3,647","3,899","1,153",963,37.7,40.4,11.9,10.0,"2,807","4,445","1,816","1,101",27.6,43.7,17.9,10.8,"2,115","4,802","2,895","1,489",18.7,42.5,26.0,20.8,"2,427","11,391","9,248","9,909",7.4,34.5,30.1,28.0
WI,Dane County,2,2,2,2,"39,825","48,217","18,314","31,965",28.8,34.9,13.2,23.1,"29,431","61,259","34,457","55,877",16.3,33.8,19.0,30.9,"25,086","61,115","62,596","77,176",11.1,27.0,27.7,34.2,"21,177","60,220","78,878","109,723",7.8,22.3,28.6,14.7,"3,752","16,952","8,418","14,740",8.6,38.6,33.6,19.2
WI,Dodge County,4,3,4,3,"20,848","11,953","2,850","2,267",55.0,31.5,7.5,6.0,"16,924","18,544","4,719","4,085",38.2,41.9,10.7,9.2,"13,776","21,602","9,238","5,078",27.7,43.5,18.6,10.2,"10,153","25,031","14,667","7,602",17.7,43.6,22.4,10.3,"3,975","9,654","2,546","5,650",18.2,44.2,25.9,11.7
WI,Door County,6,6,6,6,"5,934","3,877","1,157",731,50.7,33.1,9.9,6.2,"4,867","6,182","2,110","1,979",32.2,40.8,13.9,13.1,"3,549","7,021","3,945","2,854",20.4,40.4,22.7,16.4,"2,453","7,741","5,574","4,294",12.2,38.6,29.8,16.7,"3,041","14,049","8,817","13,779",7.7,35.4,34.7,22.2
WI,Douglas County,2,2,2,2,"10,981","8,760","2,594","2,049",45.0,35.9,10.6,8.4,"8,036","11,247","3,765","3,085",30.8,43.0,14.4,11.8,"6,165","10,705","6,173","4,017",22.8,39.6,22.8,14.8,"4,053","10,370","8,990","5,240",14.1,36.2,25.6,13.2,"1,179","5,060","1,810","3,743",10.0,42.9,31.7,15.3
WI,Dunn County,6,5,6,3,"7,279","4,461","1,407","1,366",50.2,30.7,9.7,9.4,"5,624","6,273","2,634","2,824",32.4,36.1,15.2,16.3,"4,413","7,356","4,144","3,842",22.3,37.2,21.0,19.4,"3,023","8,353","6,496","4,772",13.4,36.9,29.2,40.6,"16,786","63,674","156,146","91,710",5.1,19.4,27.9,47.6
WI,Eau Claire County,3,2,3,2,"13,280","12,763","3,892","3,771",39.4,37.9,11.5,11.2,"10,526","17,425","6,553","7,534",25.0,41.5,15.6,17.9,"8,491","17,509","13,002","10,334",17.2,35.5,26.4,20.9,"6,133","17,212","17,009","14,936",11.1,31.1,25.5,13.2,"7,819","24,778","9,841","20,224",12.5,39.5,32.3,15.7
WI,Florence County,9,8,9,8,952,716,79,105,51.4,38.7,4.3,5.7,954,"1,089",280,211,37.6,43.0,11.0,8.3,759,"1,345",680,273,24.8,44.0,22.2,8.9,592,"1,614",982,453,16.3,44.3,27.8,21.4,"1,290","7,361","6,275","6,447",6.0,34.4,30.2,29.4
WI,Fond du Lac County,3,2,3,2,"21,170","15,527","3,577","3,688",48.2,35.3,8.1,8.4,"16,163","22,509","6,305","5,752",31.9,44.4,12.4,11.3,"12,768","24,259","12,174","7,563",22.5,42.7,21.4,13.3,"10,026","25,479","17,328","10,715",15.8,40.1,31.4,18.3,"2,081","9,930","6,690","11,817",6.8,32.5,38.7,21.9
WI,Forest County,9,10,9,12,"2,505","1,248",243,145,60.5,30.1,5.9,3.5,"2,240","2,005",557,415,42.9,38.4,10.7,8.0,"2,012","2,177",990,429,35.9,38.8,17.7,7.6,"1,439","2,859","1,725",671,21.5,42.7,28.7,21.1,"2,022","9,384","6,731","8,427",7.6,35.3,31.7,25.3
WI,Grant County,6,5,6,5,"11,315","7,709","2,501","2,103",47.9,32.6,10.6,8.9,"8,887","11,234","3,474","3,791",32.5,41.0,12.7,13.8,"6,450","12,464","5,956","4,290",22.1,42.7,20.4,14.7,"5,059","12,255","8,058","5,253",16.5,40.0,30.8,27.0,"4,224","16,898","19,434","21,871",6.8,27.1,35.0,31.1
WI,Green County,6,5,2,2,"7,372","5,203","1,386","1,025",49.2,34.7,9.2,6.8,"5,870","7,606","2,336","1,936",33.1,42.9,13.2,10.9,"4,577","8,532","4,235","2,364",23.2,43.3,21.5,12.0,"3,577","9,085","6,107","3,754",15.9,40.3,27.0,12.4,349,"1,364",524,"1,166",10.3,40.1,34.3,15.4
WI,Green Lake County,6,6,6,6,"5,024","3,202","1,002",635,50.9,32.5,10.2,6.4,"4,269","4,656","1,285","1,184",37.5,40.9,11.3,10.4,"3,169","5,364","2,500","1,420",25.4,43.1,20.1,11.4,"2,394","5,547","3,372","1,916",18.1,41.9,27.3,16.9,"6,653","27,022","14,646","21,834",9.5,38.5,31.1,20.9
WI,Iowa County,2,2,2,2,"4,489","3,704","1,224",621,44.7,36.9,12.2,6.2,"3,332","5,084","1,577","1,286",29.5,45.1,14.0,11.4,"2,473","5,812","2,770","1,692",19.4,45.6,21.7,13.3,"1,743","6,306","4,264","2,787",11.5,41.8,25.8,10.0,893,"2,668",927,"2,043",13.7,40.9,31.3,14.2
WI,Iron County,9,12,9,12,"2,283","1,339",301,202,55.3,32.5,7.3,4.9,"1,654","1,723",675,374,37.4,38.9,15.3,8.5,"1,125","1,678","1,178",466,25.3,37.7,26.5,10.5,835,"1,951","1,664",674,16.3,38.1,26.3,17.2,"2,943","12,407","6,393","9,952",9.3,39.1,31.4,20.2
WI,Jackson County,6,6,6,6,"4,948","2,820",452,397,57.4,32.7,5.2,4.6,"3,936","4,289","1,115",807,38.8,42.3,11.0,8.0,"3,367","4,531","1,957",945,31.2,42.0,18.1,8.8,"2,686","5,333","3,318","1,442",21.0,41.7,27.1,16.7,"2,103","10,076","5,360","8,135",8.2,39.2,31.7,20.9
WI,Jefferson County,4,3,4,3,"15,420","11,076","2,996","2,635",48.0,34.5,9.3,8.2,"12,173","15,775","4,961","4,725",32.3,41.9,13.2,12.6,"9,724","16,789","9,318","6,383",23.0,39.8,22.1,15.1,"7,509","18,892","14,135","8,521",15.3,38.5,25.5,14.5,"1,665","5,683","2,323","3,773",12.4,42.3,28.1,17.3
WI,Juneau County,7,9,7,9,"5,586","3,249","1,020",457,54.2,31.5,9.9,4.4,"5,172","5,102","1,391",979,40.9,40.4,11.0,7.7,"4,180","5,929","2,879","1,222",29.4,41.7,20.3,8.6,"3,543","7,076","4,197","1,641",21.5,43.0,28.2,18.5,"1,251","5,902","3,839","5,560",7.6,35.7,33.6,23.2
WI,Kenosha County,1,1,1,1,"31,692","20,830","5,109","4,216",51.2,33.7,8.3,6.8,"24,863","28,670","9,524","7,578",35.2,40.6,13.5,10.7,"20,128","29,482","20,934","10,250",24.9,36.5,25.9,12.7,"15,645","31,711","29,436","18,246",16.5,33.4,32.5,13.2,358,"1,696",963,"1,663",7.6,36.2,35.5,20.6
WI,Kewaunee County,2,2,2,2,"5,440","3,454",612,358,55.2,35.0,6.2,3.6,"4,079","4,931","1,162",847,37.0,44.7,10.5,7.7,"3,160","5,727","2,082",976,26.5,47.9,17.4,8.2,"2,133","6,338","3,345","1,520",16.0,47.5,26.0,11.3,"1,968","6,189","2,011","4,300",13.6,42.8,29.7,13.9
WI,La Crosse County,3,2,3,2,"16,602","15,400","4,877","4,637",40.0,37.1,11.7,11.2,"13,192","19,582","8,435","8,649",26.5,39.3,16.9,17.3,"10,208","20,126","15,901","12,351",17.4,34.4,27.1,21.1,"6,749","20,823","21,121","16,570",10.3,31.9,28.8,17.4,"4,688","20,798","13,130","17,642",8.3,37.0,31.4,23.3
WI,Lafayette County,8,7,8,7,"4,276","3,462",791,552,47.1,38.1,8.7,6.1,"3,258","4,530","1,108",909,33.2,46.2,11.3,9.3,"2,338","4,936","1,878","1,029",23.0,48.5,18.4,10.1,"1,523","4,906","2,695","1,404",14.5,46.6,25.5,10.0,"2,948","7,910","2,375","5,898",15.4,41.3,30.8,12.4
WI,Langlade County,6,6,6,6,"5,711","3,178",999,588,54.5,30.3,9.5,5.6,"4,850","4,579","1,403","1,011",41.0,38.7,11.8,8.5,"3,686","5,666","2,442","1,139",28.5,43.8,18.9,8.8,"2,745","6,509","3,436","1,682",19.1,45.3,31.0,19.2,"11,243","36,681","26,478","34,589",10.3,33.7,31.7,24.3
WI,Lincoln County,6,5,6,5,"7,359","4,060","1,085",736,55.6,30.7,8.2,5.6,"6,324","5,967","1,835","1,541",40.4,38.1,11.7,9.8,"5,084","7,060","3,520","1,903",28.9,40.2,20.0,10.8,"3,706","8,332","5,350","2,732",18.4,41.4,25.1,11.4,"1,243","6,580","2,087","4,535",8.6,45.6,31.4,14.4
WI,Manitowoc County,4,5,4,5,"21,575","16,419","2,910","2,899",49.3,37.5,6.6,6.6,"15,975","22,400","5,080","4,801",33.1,46.4,10.5,9.9,"12,841","22,886","10,176","6,312",24.6,43.8,19.5,12.1,"8,562","23,853","14,458","8,579",15.4,43.0,32.4,25.4,"4,405","20,915","22,705","25,731",6.0,28.4,34.9,30.8
WI,Marathon County,3,2,3,2,"26,385","16,338","4,596","3,735",51.7,32.0,9.0,7.3,"22,123","25,092","8,031","7,267",35.4,40.1,12.8,11.6,"17,408","29,494","15,729","9,736",24.1,40.8,21.7,13.5,"13,282","31,091","22,558","14,994",16.2,38.0,25.6,13.3,"1,146","4,869","1,965","3,368",10.1,42.9,29.7,17.3
WI,Marinette County,6,5,6,5,"10,470","7,480","1,460","1,098",51.1,36.5,7.1,5.4,"8,288","10,403","2,865","2,034",35.1,44.1,12.1,8.6,"7,046","11,511","5,433","2,709",26.4,43.1,20.3,10.1,"5,167","13,221","7,372","3,815",17.5,44.7,23.9,11.7,"1,702","6,316","1,929","4,373",11.9,44.1,30.5,13.5
WI,Marquette County,8,7,8,7,"2,997","1,685",480,266,55.2,31.0,8.8,4.9,"3,069","2,899",850,594,41.4,39.1,11.5,8.0,"2,574","3,503","1,672",750,30.3,41.2,19.7,8.8,"2,420","4,733","3,121","1,154",21.2,41.4,26.6,13.6,"2,256","8,402","3,132","6,873",10.9,40.7,33.3,15.2
WI,Menominee County,8,7,8,5,694,194,87,25,69.4,19.4,8.7,2.5,861,411,151,23,59.5,28.4,10.4,1.6,717,789,345,71,37.3,41.1,18.0,3.7,522,"1,009",558,310,21.8,42.1,26.1,15.5,"5,560","22,983","11,179","17,451",9.7,40.2,30.5,19.6
WI,Milwaukee County,1,1,1,1,"263,209","195,714","60,090","59,487",45.5,33.8,10.4,10.3,"180,584","214,234","88,582","89,876",31.5,37.4,15.5,15.7,"144,939","192,086","155,588","117,925",23.7,31.5,25.5,19.3,"117,414","174,794","161,719","140,460",19.8,29.4,27.5,18.3,"8,501","34,548","21,165","27,703",9.2,37.6,30.1,23.0
WI,Monroe County,6,6,6,6,"8,832","6,162","1,536","1,040",50.3,35.1,8.7,5.9,"7,458","8,868","2,555","1,852",36.0,42.8,12.3,8.9,"5,589","9,965","4,991","2,480",24.3,43.3,21.7,10.8,"4,986","10,829","7,037","3,471",18.9,41.1,24.9,12.9,"3,054","12,922","4,186","9,911",10.2,43.0,33.0,13.9
WI,Oconto County,2,2,2,2,"8,297","4,361",862,599,58.8,30.9,6.1,4.2,"6,993","7,143","1,621","1,259",41.1,42.0,9.5,7.4,"6,045","8,848","3,184","1,683",30.6,44.8,16.1,8.5,"4,685","10,908","6,029","2,564",19.4,45.1,27.3,10.1,"1,370","4,973","1,466","3,451",12.2,44.2,30.6,13.0
WI,Oneida County,7,9,7,9,"6,282","5,054","1,623","1,015",45.0,36.2,11.6,7.3,"5,716","7,897","3,200","2,566",29.5,40.8,16.5,13.2,"4,963","8,379","5,510","3,301",22.4,37.8,24.9,14.9,"3,951","9,648","7,570","5,280",14.9,36.5,23.3,12.9,227,"1,070",422,844,8.9,41.7,32.9,16.5
WI,Outagamie County,3,2,3,2,"25,142","21,876","5,168","5,379",43.7,38.0,9.0,9.3,"19,375","32,086","9,179","9,322",27.7,45.9,13.1,13.3,"16,009","37,028","19,180","14,472",18.5,42.7,22.1,16.7,"12,130","38,594","28,478","23,016",11.9,37.8,27.2,23.6,"84,450","176,038","176,367","178,223",13.7,28.6,29.0,28.7
WI,Ozaukee County,1,1,1,1,"10,200","9,647","3,487","4,282",36.9,34.9,12.6,15.5,"7,927","14,694","6,773","9,164",20.6,38.1,17.6,23.8,"6,165","13,921","12,978","13,994",13.1,29.6,27.6,29.7,"4,473","13,274","15,964","21,201",8.1,24.2,26.7,13.2,"3,574","11,827","5,291","9,562",11.8,39.1,31.6,17.5
WI,Pepin County,8,7,8,4,"2,201","1,124",345,202,56.8,29.0,8.9,5.2,"1,763","1,698",453,369,41.2,39.6,10.6,8.6,"1,326","1,893",918,441,29.0,41.3,20.1,9.6,822,"2,029","1,252",630,17.4,42.9,24.9,10.6,"2,703","11,842","4,172","8,308",10.0,43.8,30.7,15.4
WI,Pierce County,1,1,1,1,"5,931","4,308","1,422","1,146",46.3,33.6,11.1,8.9,"4,778","6,313","2,240","2,580",30.0,39.7,14.1,16.2,"3,525","7,488","4,295","3,315",18.9,40.2,23.1,17.8,"2,238","7,531","6,466","5,307",10.4,35.0,28.6,20.0,"1,882","9,281","6,612","9,313",6.9,34.3,34.4,24.4
WI,Polk County,6,4,6,4,"7,688","5,292","1,312",829,50.8,35.0,8.7,5.5,"6,300","8,069","2,889","2,056",32.6,41.8,15.0,10.6,"4,957","9,720","5,265","2,573",22.0,43.2,23.4,11.4,"3,911","11,395","8,103","4,316",14.1,41.1,27.9,22.5,"8,259","40,667","32,128","38,393",6.9,34.0,32.1,26.9
WI,Portage County,4,5,4,5,"10,044","7,123","2,105","2,441",46.3,32.8,9.7,11.2,"9,134","11,015","3,890","5,097",31.3,37.8,13.4,17.5,"7,094","14,082","7,127","6,701",20.3,40.2,20.4,19.1,"5,439","14,952","10,374","9,378",13.5,37.2,29.1,38.6,"2,272","13,447","27,877","16,492",3.8,22.4,27.4,46.4
WI,Price County,9,11,9,12,"4,898","2,512",683,430,57.5,29.5,8.0,5.0,"3,773","3,939","1,131",799,39.1,40.9,11.7,8.3,"2,778","4,607","1,924","1,105",26.7,44.2,18.5,10.6,"1,959","4,831","2,889","1,443",17.6,43.4,26.5,13.3,488,"2,246",895,"1,605",9.3,42.9,30.7,17.1
WI,Racine County,3,2,3,2,"42,018","29,940","8,079","7,723",47.9,34.1,9.2,8.8,"31,698","39,155","13,532","13,694",32.3,39.9,13.8,14.0,"26,121","38,863","27,410","18,199",23.6,35.1,24.8,16.5,"20,914","39,758","36,885","24,799",17.1,32.5,30.0,24.6,"1,528","8,311","6,616","8,667",6.1,33.1,34.5,26.3
WI,Richland County,6,6,6,6,"5,000","2,834","1,073",539,52.9,30.0,11.4,5.7,"3,841","4,062","1,486","1,087",36.7,38.8,14.2,10.4,"2,972","4,600","2,521","1,216",26.3,40.7,22.3,10.8,"2,134","4,851","3,235","1,676",17.9,40.8,29.2,15.6,"2,552","12,083","5,912","10,306",8.3,39.2,33.4,19.2
WI,Rock County,3,2,3,2,"27,140","27,740","6,769","6,310",39.9,40.8,10.0,9.3,"22,808","35,986","10,276","9,759",28.9,45.7,13.0,12.4,"19,216","37,785","19,354","11,717",21.8,42.9,22.0,13.3,"15,887","38,781","27,623","16,479",16.1,39.3,25.8,23.4,"3,538","15,189","12,558","13,041",8.0,34.3,29.4,28.3
WI,Rusk County,6,6,6,6,"4,378","2,258",697,475,56.1,28.9,8.9,6.1,"3,569","3,641",995,847,39.4,40.2,11.0,9.4,"2,881","3,885","1,878","1,060",29.7,40.0,19.4,10.9,"2,150","4,468","2,528","1,150",20.9,43.4,26.0,13.0,"1,077","4,452","1,708","3,364",10.2,42.0,31.7,16.1
WI,St. Croix County,1,1,1,1,"6,977","6,625","2,068","1,723",40.1,38.1,11.9,9.9,"6,265","10,441","3,543","3,598",26.3,43.8,14.9,15.1,"4,809","11,920","7,869","6,275",15.6,38.6,25.5,20.3,"3,394","13,434","12,923","10,606",8.4,33.3,30.1,20.3,"15,957","41,740","30,835","42,981",12.1,31.7,32.7,23.4
WI,Sauk County,4,5,4,5,"11,130","6,804","2,156","1,549",51.4,31.4,10.0,7.2,"8,908","10,440","3,764","2,920",34.2,40.1,14.5,11.2,"7,690","12,006","6,748","3,903",25.3,39.6,22.2,12.9,"6,046","13,867","10,328","6,460",16.5,37.8,27.2,14.1,"1,293","5,071","2,071","3,994",10.4,40.8,32.1,16.7
WI,Sawyer County,9,12,7,12,"3,220","1,775",496,363,55.0,30.3,8.5,6.2,"2,824","3,201","1,063",942,35.2,39.9,13.2,11.7,"2,521","3,742","2,095","1,242",26.3,39.0,21.8,12.9,"1,735","4,531","3,210","1,867",15.3,39.9,28.0,16.7,"12,482","39,652","21,494","33,857",11.6,36.9,31.5,20.0
WI,Shawano County,6,6,6,5,"10,676","5,550","1,394",877,57.7,30.0,7.5,4.7,"9,162","8,478","2,133","1,649",42.8,39.6,10.0,7.7,"7,414","10,756","3,822","2,279",30.5,44.3,15.7,9.4,"5,100","12,594","6,343","3,466",18.5,45.8,24.6,11.2,"1,300","4,664","1,481","2,965",12.5,44.8,28.5,14.2
WI,Sheboygan County,3,2,3,2,"25,656","19,230","4,372","3,626",48.5,36.4,8.3,6.9,"19,096","26,304","7,169","6,646",32.2,44.4,12.1,11.2,"15,108","27,829","14,789","9,212",22.6,41.6,22.1,13.8,"11,605","29,779","19,821","13,356",15.6,39.9,32.0,26.3,"2,687","16,174","18,429","19,513",4.7,28.5,34.4,32.4
WI,Taylor County,6,6,6,6,"5,434","2,214",688,432,62.0,25.3,7.8,4.9,"4,700","3,846","1,036",826,45.2,37.0,10.0,7.9,"3,642","4,936","2,020","1,078",31.2,42.3,17.3,9.2,"2,792","5,713","2,949","1,418",21.7,44.4,28.1,17.6,"4,511","15,851","9,471","13,477",10.4,36.6,31.1,21.9
WI,Trempealeau County,8,7,6,6,"7,752","4,063",898,682,57.9,30.3,6.7,5.1,"6,281","6,256","1,649","1,483",40.1,39.9,10.5,9.5,"4,714","6,995","3,265","1,674",28.3,42.0,19.6,10.1,"3,494","7,485","4,906","2,432",19.1,40.9,28.3,16.5,"1,215","4,014","2,671","4,209",10.0,33.1,34.8,22.1
WI,Vernon County,6,6,6,6,"8,446","3,924","1,259",779,58.6,27.2,8.7,5.4,"6,539","5,651","2,164","1,597",41.0,35.4,13.6,10.0,"5,198","6,303","3,491","1,891",30.8,37.3,20.7,11.2,"3,902","7,109","4,884","2,578",21.1,38.5,23.1,12.6,"3,060","13,369","4,457","8,554",10.4,45.4,29.1,15.1
WI,Vilas County,9,12,9,12,"3,234","2,340",696,540,47.5,34.4,10.2,7.9,"3,315","4,496","1,912","1,285",30.1,40.8,17.4,11.7,"3,057","4,687","3,318","1,753",23.9,36.6,25.9,13.7,"2,280","6,233","4,400","2,754",14.6,39.8,26.6,17.9,"7,351","29,487","17,854","24,547",9.3,37.2,31.0,22.5
WI,Walworth County,4,3,4,3,"13,130","11,942","3,918","3,754",40.1,36.5,12.0,11.5,"11,800","16,543","6,125","6,243",29.0,40.6,15.0,15.3,"9,806","17,175","11,560","8,201",21.0,36.7,24.7,17.5,"9,204","19,459","16,818","12,672",15.8,33.5,22.9,11.0,"1,773","6,662","1,966","3,852",12.4,46.7,27.0,13.8
WI,Washburn County,6,6,7,11,"3,362","1,926",623,409,53.2,30.5,9.9,6.5,"2,908","3,411","1,023",849,35.5,41.6,12.5,10.4,"2,338","3,767","2,006","1,186",25.1,40.5,21.6,12.8,"1,828","4,464","3,241","1,715",16.3,39.7,26.8,13.3,"2,535","7,839","3,631","6,068",12.6,39.1,30.2,18.1
WI,Washington County,1,1,1,1,"14,510","11,858","2,898","2,524",45.6,37.3,9.1,7.9,"13,013","20,691","6,479","6,440",27.9,44.4,13.9,13.8,"11,118","23,813","15,174","9,478",18.7,40.0,25.5,15.9,"8,738","27,308","24,606","17,057",11.2,35.1,26.4,14.0,"2,497","7,595","4,069","6,069",12.3,37.5,30.0,20.1
WI,Waukesha County,1,1,1,1,"37,742","45,426","15,614","17,950",32.3,38.9,13.4,15.4,"30,100","65,227","29,628","34,262",18.9,41.0,18.6,21.5,"23,522","63,044","56,285","52,986",12.0,32.2,28.7,27.1,"19,410","66,651","72,975","82,263",8.0,27.6,28.1,17.6,"1,373","5,492","4,134","5,578",8.3,33.1,33.6,24.9
WI,Waupaca County,6,6,6,6,"11,757","7,359","1,830","1,305",52.8,33.1,8.2,5.9,"9,819","10,878","2,924","2,409",37.7,41.8,11.2,9.3,"8,389","13,149","5,265","3,306",27.9,43.7,17.5,11.0,"6,022","15,148","8,400","5,156",17.3,43.6,28.9,21.8,"6,496","21,960","17,712","21,081",9.7,32.7,31.3,26.3
